rcp,year,gcm,iam,value
rcp45,2080,bcc-csm1-1,low,11.837777276387103
rcp45,2081,bcc-csm1-1,low,18.01166945309082
rcp45,2082,bcc-csm1-1,low,11.544482666909875
rcp45,2083,bcc-csm1-1,low,24.04946450346299
rcp45,2084,bcc-csm1-1,low,16.397225780419667
rcp45,2085,bcc-csm1-1,low,16.82686540777029
rcp45,2086,bcc-csm1-1,low,16.825904973978638
rcp45,2087,bcc-csm1-1,low,3.928574648048583
rcp45,2088,bcc-csm1-1,low,26.820668566540583
rcp45,2089,bcc-csm1-1,low,27.112831903314273
rcp45,2090,bcc-csm1-1,low,10.021454545750029
rcp45,2091,bcc-csm1-1,low,9.223016903807528
rcp45,2092,bcc-csm1-1,low,12.784990315527562
rcp45,2093,bcc-csm1-1,low,10.50384564886803
rcp45,2094,bcc-csm1-1,low,14.823823140380373
rcp45,2095,bcc-csm1-1,low,19.98063149791019
rcp45,2096,bcc-csm1-1,low,17.220749112426027
rcp45,2097,bcc-csm1-1,low,14.928450883002075
rcp45,2098,bcc-csm1-1,low,11.682693681554333
rcp45,2099,bcc-csm1-1,low,13.029263497006049
rcp45,2080,CanESM2,high,17.948941996671476
rcp45,2081,CanESM2,high,18.860493288553666
rcp45,2082,CanESM2,high,22.870426952439352
rcp45,2083,CanESM2,high,13.66577503708229
rcp45,2084,CanESM2,high,18.343176329709014
rcp45,2085,CanESM2,high,17.33679893455293
rcp45,2086,CanESM2,high,14.941507412233756
rcp45,2087,CanESM2,high,17.479995410017843
rcp45,2088,CanESM2,high,10.598061557577367
rcp45,2089,CanESM2,high,24.509239103068204
rcp45,2090,CanESM2,high,15.899404304419626
rcp45,2091,CanESM2,high,14.881849997217312
rcp45,2092,CanESM2,high,19.568659493793398
rcp45,2093,CanESM2,high,15.70401868172418
rcp45,2094,CanESM2,high,13.10449332636886
rcp45,2095,CanESM2,high,18.931097625190546
rcp45,2096,CanESM2,high,13.47312556105991
rcp45,2097,CanESM2,high,21.42003572289767
rcp45,2098,CanESM2,high,20.830742657109987
rcp45,2099,CanESM2,high,22.619760737602157
rcp45,2080,GFDL-CM3,high,27.323724173212323
rcp45,2081,GFDL-CM3,high,24.733555653386397
rcp45,2082,GFDL-CM3,high,33.470016331356284
rcp45,2083,GFDL-CM3,high,32.19261214762745
rcp45,2084,GFDL-CM3,high,25.905763539481537
rcp45,2085,GFDL-CM3,high,35.84491459094538
rcp45,2086,GFDL-CM3,high,28.91595800902882
rcp45,2087,GFDL-CM3,high,28.36815155800081
rcp45,2088,GFDL-CM3,high,21.50603891088615
rcp45,2089,GFDL-CM3,high,33.6085943188798
rcp45,2090,GFDL-CM3,high,22.78300724135459
rcp45,2091,GFDL-CM3,high,22.188880874232893
rcp45,2092,GFDL-CM3,high,27.701726085537754
rcp45,2093,GFDL-CM3,high,28.569963292204193
rcp45,2094,GFDL-CM3,high,29.248687998858998
rcp45,2095,GFDL-CM3,high,29.827956439657623
rcp45,2096,GFDL-CM3,high,19.114014731401145
rcp45,2097,GFDL-CM3,high,23.579805374559555
rcp45,2098,GFDL-CM3,high,29.231664037493637
rcp45,2099,GFDL-CM3,high,25.42592801525729
rcp45,2080,MIROC-ESM-CHEM,high,22.886059296609027
rcp45,2081,MIROC-ESM-CHEM,high,23.83436157974577
rcp45,2082,MIROC-ESM-CHEM,high,25.865777894387342
rcp45,2083,MIROC-ESM-CHEM,high,27.001198986995828
rcp45,2084,MIROC-ESM-CHEM,high,17.984551597200372
rcp45,2085,MIROC-ESM-CHEM,high,20.80876709138279
rcp45,2086,MIROC-ESM-CHEM,high,23.66046780348942
rcp45,2087,MIROC-ESM-CHEM,high,21.59636015939011
rcp45,2088,MIROC-ESM-CHEM,high,26.96475075809537
rcp45,2089,MIROC-ESM-CHEM,high,24.05788464363723
rcp45,2090,MIROC-ESM-CHEM,high,26.972253660649294
rcp45,2091,MIROC-ESM-CHEM,high,21.038547373643784
rcp45,2092,MIROC-ESM-CHEM,high,18.39567641154227
rcp45,2093,MIROC-ESM-CHEM,high,23.935992442047564
rcp45,2094,MIROC-ESM-CHEM,high,19.469067023793343
rcp45,2095,MIROC-ESM-CHEM,high,20.65174978686172
rcp45,2096,MIROC-ESM-CHEM,high,29.055501878509755
rcp45,2097,MIROC-ESM-CHEM,high,21.702900597346485
rcp45,2098,MIROC-ESM-CHEM,high,23.235944392937373
rcp45,2099,MIROC-ESM-CHEM,high,23.21305820521971
rcp45,2080,MIROC-ESM,low,25.188874431713476
rcp45,2081,MIROC-ESM,low,25.230297225102877
rcp45,2082,MIROC-ESM,low,28.04640078963091
rcp45,2083,MIROC-ESM,low,32.50853765934124
rcp45,2084,MIROC-ESM,low,27.487778562115277
rcp45,2085,MIROC-ESM,low,21.116579116823416
rcp45,2086,MIROC-ESM,low,29.984733635730777
rcp45,2087,MIROC-ESM,low,29.723174980930693
rcp45,2088,MIROC-ESM,low,31.95345479379283
rcp45,2089,MIROC-ESM,low,30.46520114718259
rcp45,2090,MIROC-ESM,low,28.729201502579787
rcp45,2091,MIROC-ESM,low,37.31438218372324
rcp45,2092,MIROC-ESM,low,33.63622274573243
rcp45,2093,MIROC-ESM,low,28.28137006061877
rcp45,2094,MIROC-ESM,low,29.04136427753042
rcp45,2095,MIROC-ESM,low,26.00157070174601
rcp45,2096,MIROC-ESM,low,30.1688197626505
rcp45,2097,MIROC-ESM,low,20.110379954518457
rcp45,2098,MIROC-ESM,low,28.625188235224307
rcp45,2099,MIROC-ESM,low,23.51386116541662
rcp45,2080,surrogate_GFDL-CM3_99,high,44.24116844989584
rcp45,2081,surrogate_GFDL-CM3_99,high,42.2410183802124
rcp45,2082,surrogate_GFDL-CM3_99,high,52.854018029980374
rcp45,2083,surrogate_GFDL-CM3_99,high,52.143133579183655
rcp45,2084,surrogate_GFDL-CM3_99,high,45.98993626010001
rcp45,2085,surrogate_GFDL-CM3_99,high,56.629250550464285
rcp45,2086,surrogate_GFDL-CM3_99,high,49.31186582358616
rcp45,2087,surrogate_GFDL-CM3_99,high,49.44417452894455
rcp45,2088,surrogate_GFDL-CM3_99,high,41.519731824370716
rcp45,2089,surrogate_GFDL-CM3_99,high,55.27168049919867
rcp45,2090,surrogate_GFDL-CM3_99,high,43.93305521871992
rcp45,2091,surrogate_GFDL-CM3_99,high,43.531140139432026
rcp45,2092,surrogate_GFDL-CM3_99,high,50.49733221020062
rcp45,2093,surrogate_GFDL-CM3_99,high,51.81302921609265
rcp45,2094,surrogate_GFDL-CM3_99,high,52.790714235455106
rcp45,2095,surrogate_GFDL-CM3_99,high,54.212677714396975
rcp45,2096,surrogate_GFDL-CM3_99,high,41.39966592577304
rcp45,2097,surrogate_GFDL-CM3_99,high,47.24672302799341
rcp45,2098,surrogate_GFDL-CM3_99,high,52.95064514119097
rcp45,2099,surrogate_GFDL-CM3_99,high,50.44944283321481
rcp45,2080,surrogate_MRI-CGCM3_01,high,6.87306268197267
rcp45,2081,surrogate_MRI-CGCM3_01,high,4.18481939546413
rcp45,2082,surrogate_MRI-CGCM3_01,high,-0.08361951429048058
rcp45,2083,surrogate_MRI-CGCM3_01,high,4.382093975057746
rcp45,2084,surrogate_MRI-CGCM3_01,high,2.1250885742395074
rcp45,2085,surrogate_MRI-CGCM3_01,high,1.6407726341602897
rcp45,2086,surrogate_MRI-CGCM3_01,high,0.35082852405975035
rcp45,2087,surrogate_MRI-CGCM3_01,high,0.9712389442185773
rcp45,2088,surrogate_MRI-CGCM3_01,high,-3.4384693313763015
rcp45,2089,surrogate_MRI-CGCM3_01,high,4.4522231538098564
rcp45,2090,surrogate_MRI-CGCM3_01,high,3.7400400937899594
rcp45,2091,surrogate_MRI-CGCM3_01,high,-1.3338716198648302
rcp45,2092,surrogate_MRI-CGCM3_01,high,6.477188451042899
rcp45,2093,surrogate_MRI-CGCM3_01,high,2.254514421604147
rcp45,2094,surrogate_MRI-CGCM3_01,high,7.348478187150882
rcp45,2095,surrogate_MRI-CGCM3_01,high,-0.11476633545526203
rcp45,2096,surrogate_MRI-CGCM3_01,high,4.015580687690668
rcp45,2097,surrogate_MRI-CGCM3_01,high,1.4436602153288216
rcp45,2098,surrogate_MRI-CGCM3_01,high,3.5428581330141764
rcp45,2099,surrogate_MRI-CGCM3_01,high,2.937881743791541
rcp45,2080,CESM1-BGC,low,17.927345856773645
rcp45,2081,CESM1-BGC,low,11.985522581102682
rcp45,2082,CESM1-BGC,low,9.186776483515152
rcp45,2083,CESM1-BGC,low,10.06909758781277
rcp45,2084,CESM1-BGC,low,16.96215270317784
rcp45,2085,CESM1-BGC,low,9.248664144098843
rcp45,2086,CESM1-BGC,low,13.72432375036761
rcp45,2087,CESM1-BGC,low,19.83856551683942
rcp45,2088,CESM1-BGC,low,16.613532359614027
rcp45,2089,CESM1-BGC,low,11.104284105171507
rcp45,2090,CESM1-BGC,low,12.939884781177694
rcp45,2091,CESM1-BGC,low,15.93596383156336
rcp45,2092,CESM1-BGC,low,9.788034499610047
rcp45,2093,CESM1-BGC,low,11.413361272531365
rcp45,2094,CESM1-BGC,low,10.493845540624863
rcp45,2095,CESM1-BGC,low,15.434813137132359
rcp45,2096,CESM1-BGC,low,13.823030893432486
rcp45,2097,CESM1-BGC,low,-0.9002446745755242
rcp45,2098,CESM1-BGC,low,15.990111205228091
rcp45,2099,CESM1-BGC,low,10.141725528872907
rcp45,2080,surrogate_MRI-CGCM3_11,high,8.176599381899704
rcp45,2081,surrogate_MRI-CGCM3_11,high,5.495444159038325
rcp45,2082,surrogate_MRI-CGCM3_11,high,1.258653542973861
rcp45,2083,surrogate_MRI-CGCM3_11,high,5.698982183476622
rcp45,2084,surrogate_MRI-CGCM3_11,high,3.5727175837434446
rcp45,2085,surrogate_MRI-CGCM3_11,high,3.0824612750488125
