country,price,start_year,end_year,n_obs,annual_growth_rate_pct
DEU,lpgHOUSEHOLDS_price,2005,2016,11,-3.29
DEU,natgasHOUSEHOLDS_pri,1978,2016,38,.49000001
DEU,unprem95HOUSEHOLDS_p,1986,2016,30,1.48
DEU,unprem98HOUSEHOLDS_p,1993,2016,23,.51999998
DEU,unregHOUSEHOLDS_pric,1986,2010,24,3.6400001
DEU,bitcoalINDUSTRY_pric,1978,1994,16,.22
DEU,cokcoalINDUSTRY_pric,1978,1998,20,-4.1799998
DEU,dieselINDUSTRY_price,1978,2016,38,-.31999999
DEU,electrINDUSTRY_price,1978,2016,38,.050000001
DEU,hsfoINDUSTRY_price,1978,1990,12,-2.0799999
DEU,lfoINDUSTRY_price,1978,2016,38,.13
DEU,lpgINDUSTRY_price,2005,2016,11,-3.47
DEU,lsfoINDUSTRY_price,1991,2016,25,.57999998
DEU,natgasINDUSTRY_price,1978,2016,38,.19
DNK,bitcoalHOUSEHOLDS_at,1979,2002,23,-1.65
DNK,bitcoalINDUSTRY_atpr,1978,1995,17,-5.0599999
DNK,dieselHOUSEHOLDS_atp,1996,2016,20,1.5599999
DNK,dieselINDUSTRY_atpri,1978,2016,38,.36000001
DNK,electrHOUSEHOLDS_atp,1979,2015,36,-.14
DNK,electrINDUSTRY_atpri,1979,2015,36,-1.01
DNK,hsfoINDUSTRY_atprice,1978,1988,10,-2.9100001
DNK,leadpremHOUSEHOLDS_a,1978,1995,17,-1.09
DNK,lfoHOUSEHOLDS_atpric,1978,2016,38,1.04
DNK,lfoINDUSTRY_atprice,1978,2016,38,1
DNK,lsfoINDUSTRY_atprice,1989,2016,27,.55000001
DNK,natgasHOUSEHOLDS_atp,1984,2015,31,-.95999998
DNK,unprem95HOUSEHOLDS_a,1996,2016,20,.81999999
DNK,unprem98HOUSEHOLDS_a,1990,2013,23,2.72
DNK,unregHOUSEHOLDS_atpr,1990,2016,26,.28
DNK,bitcoalHOUSEHOLDS_pr,1979,2002,23,2.25
DNK,dieselHOUSEHOLDS_pri,1996,2016,20,.33000001
DNK,electrHOUSEHOLDS_pri,1978,2015,37,1.4400001
DNK,leadpremHOUSEHOLDS_p,1978,1995,17,.46000001
DNK,lfoHOUSEHOLDS_price,1978,2016,38,2.1400001
DNK,natgasHOUSEHOLDS_pri,1978,2015,37,-.87
DNK,unprem95HOUSEHOLDS_p,1996,2016,20,-.2
DNK,unprem98HOUSEHOLDS_p,1990,2013,23,1.87
DNK,unregHOUSEHOLDS_pric,1990,2016,26,.16
DNK,bitcoalINDUSTRY_pric,1978,1995,17,-3.4000001
DNK,dieselINDUSTRY_price,1978,2016,38,1.96
DNK,electrINDUSTRY_price,1978,2015,37,-1.38
DNK,hsfoINDUSTRY_price,1978,1988,10,-2.9100001
DNK,lfoINDUSTRY_price,1978,2016,38,1.3099999
DNK,lsfoINDUSTRY_price,1989,2016,27,1.8200001
ESP,cokcoalINDUSTRY_atpr,1978,1985,7,-6.8699999
ESP,dieselHOUSEHOLDS_atp,1978,2016,38,-.059999999
ESP,dieselINDUSTRY_atpri,1978,2016,38,-.059999999
ESP,electrHOUSEHOLDS_atp,1979,2016,37,.5
ESP,electrINDUSTRY_atpri,1979,2016,37,.75999999
ESP,hsfoINDUSTRY_atprice,1978,2003,25,.25
