rho,eta,year,ssp,discount_factor
0.0,1,2124,SSP5,0.07825228117872178
0.0,1,2125,SSP1,0.14467436689911564
0.0,1,2125,SSP2,0.18817269070655948
0.0,1,2125,SSP3,0.5495735002098302
0.0,1,2125,SSP4,0.37752296119804224
0.0,1,2125,SSP5,0.07671182461287117
0.0,1,2126,SSP1,0.14268247189372854
0.0,1,2126,SSP2,0.18556992864523048
0.0,1,2126,SSP3,0.5471727475623437
0.0,1,2126,SSP4,0.37526838847055477
0.0,1,2126,SSP5,0.07520169312375351
0.0,1,2127,SSP1,0.14071800155103414
0.0,1,2127,SSP2,0.18300316739954828
0.0,1,2127,SSP3,0.5447824823442405
0.0,1,2127,SSP4,0.37302728008485825
0.0,1,2127,SSP5,0.0737212897388223
0.0,1,2128,SSP1,0.1387805782848033
0.0,1,2128,SSP2,0.18047190901438034
0.0,1,2128,SSP3,0.542402658742315
0.0,1,2128,SSP4,0.37079955563170375
0.0,1,2128,SSP5,0.07227002923739652
0.0,1,2129,SSP1,0.13686982970746206
0.0,1,2129,SSP2,0.17797566242219684
0.0,1,2129,SSP3,0.5400332311434912
0.0,1,2129,SSP4,0.3685851351820475
0.0,1,2129,SSP5,0.07084733791931601
0.0,1,2130,SSP1,0.13498538855851558
0.0,1,2130,SSP2,0.17551394334780274
0.0,1,2130,SSP3,0.5376741541339494
0.0,1,2130,SSP4,0.3663839392841831
0.0,1,2130,SSP5,0.06945265337815118
0.0,1,2131,SSP1,0.13312689263395808
0.0,1,2131,SSP2,0.17308627421438802
0.0,1,2131,SSP3,0.535325382498255
0.0,1,2131,SSP4,0.364195888960891
0.0,1,2131,SSP5,0.06808542427887719
0.0,1,2132,SSP1,0.1312939847166544
0.0,1,2132,SSP2,0.17069218405087688
0.0,1,2132,SSP3,0.5329868712184922
0.0,1,2132,SSP4,0.3620209057066047
0.0,1,2132,SSP5,0.06674511013992478
0.0,1,2133,SSP1,0.12948631250768017
0.0,1,2133,SSP2,0.16833120840055885
0.0,1,2133,SSP3,0.530658575473401
0.0,1,2133,SSP4,0.3598589114845943
0.0,1,2133,SSP5,0.06543118111952163
0.0,1,2134,SSP1,0.12770352855860717
0.0,1,2134,SSP2,0.16600288923098355
0.0,1,2134,SSP3,0.5283404506375187
0.0,1,2134,SSP4,0.3577098287241661
0.0,1,2134,SSP5,0.06414311780623978
0.0,1,2135,SSP1,0.12594529020472117
0.0,1,2135,SSP2,0.1637067748451018
0.0,1,2135,SSP3,0.5260324522803236
0.0,1,2135,SSP4,0.35557358031788
0.0,1,2135,SSP5,0.06288041101366619
0.0,1,2136,SSP1,0.12421125949915915
0.0,1,2136,SSP2,0.16144241979363572
0.0,1,2136,SSP3,0.5237345361653841
0.0,1,2136,SSP4,0.3534500896187825
0.0,1,2136,SSP5,0.06164256157911545
0.0,1,2137,SSP1,0.12250110314795323
0.0,1,2137,SSP2,0.159209384788661
0.0,1,2137,SSP3,0.521446658249511
0.0,1,2137,SSP4,0.351339280437657
0.0,1,2137,SSP5,0.060429080166304966
0.0,1,2138,SSP1,0.12081449244596919
0.0,1,2138,SSP2,0.15700723661838448
0.0,1,2138,SSP3,0.5191687746819126
0.0,1,2138,SSP4,0.34924107704028984
0.0,1,2138,SSP5,0.05923948707191465
0.0,1,2139,SSP1,0.1191511032137266
0.0,1,2139,SSP2,0.15483554806310043
0.0,1,2139,SSP3,0.5169008418033548
0.0,1,2139,SSP4,0.34715540414475343
0.0,1,2139,SSP5,0.05807331203595458
0.0,1,2140,SSP1,0.11751061573508927
0.0,1,2140,SSP2,0.1526938978123094
0.0,1,2140,SSP3,0.5146428161453244
0.0,1,2140,SSP4,0.3450821869187048
0.0,1,2140,SSP5,0.05693009405586581
0.0,1,2141,SSP1,0.1158927146958132
0.0,1,2141,SSP2,0.15058187038298343
0.0,1,2141,SSP3,0.5123946544291952
0.0,1,2141,SSP4,0.34302135097670094
0.0,1,2141,SSP5,0.05580938120428063
0.0,1,2142,SSP1,0.11429708912294088
0.0,1,2142,SSP2,0.14849905603896166
0.0,1,2142,SSP3,0.5101563135653996
0.0,1,2142,SSP4,0.3409728223775297
0.0,1,2142,SSP5,0.054710730450370455
0.0,1,2143,SSP1,0.11272343232502985
0.0,1,2143,SSP2,0.14644505071146113
0.0,1,2143,SSP3,0.5079277506526019
0.0,1,2143,SSP4,0.33893652762155707
0.0,1,2143,SSP5,0.0536337074847106
0.0,1,2144,SSP1,0.11117144183320424
0.0,1,2144,SSP2,0.1444194559206868
0.0,1,2144,SSP3,0.505708922976876
0.0,1,2144,SSP4,0.3369123936480899
0.0,1,2144,SSP5,0.052577886547592684
0.0,1,2145,SSP1,0.10964081934301799
0.0,1,2145,SSP2,0.14242187869852596
0.0,1,2145,SSP3,0.5034997880108874
0.0,1,2145,SSP4,0.3349003478327546
0.0,1,2145,SSP5,0.051542850260716866
0.0,1,2146,SSP1,0.10813127065711846
0.0,1,2146,SSP2,0.14045193151231183
0.0,1,2146,SSP3,0.5013003034130773
0.0,1,2146,SSP4,0.33290031798489134
0.0,1,2146,SSP5,0.050528189462197344
0.0,1,2147,SSP1,0.10664250562869937
0.0,1,2147,SSP2,0.1385092321896418
0.0,1,2147,SSP3,0.4991104270268519
0.0,1,2147,SSP4,0.33091223234496403
0.0,1,2147,SSP5,0.04953350304481594
0.0,1,2148,SSP1,0.10517423810573245
0.0,1,2148,SSP2,0.13659340384423546
0.0,1,2148,SSP3,0.49693011687977356
0.0,1,2148,SSP4,0.3289360195819856
0.0,1,2148,SSP5,0.048558397797459706
0.0,1,2149,SSP1,0.10372618587596678
0.0,1,2149,SSP2,0.13470407480281799
0.0,1,2149,SSP3,0.4947593311827569
0.0,1,2149,SSP4,0.32697160879095877
0.0,1,2149,SSP5,0.047602488249680004
0.0,1,2150,SSP1,0.10229807061268543
0.0,1,2150,SSP2,0.13284087853301527
0.0,1,2150,SSP3,0.4925980283292674
0.0,1,2150,SSP4,0.3250189294903318
0.0,1,2150,SSP5,0.046665396519311564
0.0,1,2151,SSP1,0.100889617821209
0.0,1,2151,SSP2,0.131003453572246
0.0,1,2151,SSP3,0.4904461668945246
