time,regions,cooling
2721,WEU,-617.5684247302335
2721,JPK,-41.40806135747917
2721,ANZ,-2.389314665889363
2721,EEU,-19.165187507771293
2721,FSU,-59.419882372531376
2721,MDE,-97.84614923596236
2721,CAM,-36.449292845531694
2721,LAM,-172.2006020787812
2721,SAS,-106.07161221422308
2721,SEA,-294.7019472907714
2721,CHI,-1243.940222277999
2721,MAF,-178.46388739647495
2721,SSA,-183.7460545983981
2721,SIS,-5.971042955498219
2722,USA,-343.8314660216625
2722,CAN,-25.228332934852453
2722,WEU,-616.5139917256637
2722,JPK,-41.33708816267251
2722,ANZ,-2.3851844941635894
2722,EEU,-19.13037055005418
2722,FSU,-59.29091432957478
2722,MDE,-97.67282603409465
2722,CAM,-36.381801240096195
2722,LAM,-171.9141841127024
2722,SAS,-105.87471180775077
2722,SEA,-294.17680008176234
2722,CHI,-1241.7299116252009
2722,MAF,-178.12907506709846
2722,SSA,-183.4239773914628
2722,SIS,-5.961032167107717
2723,USA,-343.2594289481464
2723,CAN,-25.18683728384234
2723,WEU,-615.4620278629371
2723,JPK,-41.266280509889576
2723,ANZ,-2.3810640828709753
2723,EEU,-19.095643031760527
2723,FSU,-59.16236759278911
2723,MDE,-97.49992837597493
2723,CAM,-36.31448581090852
2723,LAM,-171.62840332696874
2723,SAS,-105.67832803977076
2723,SEA,-293.6529576128942
2723,CHI,-1239.5251350198944
2723,MAF,-177.79517028931525
2723,SSA,-183.10268428473086
2723,SIS,-5.951044104710321
2724,USA,-342.68867007594804
2724,CAN,-25.14543310455148
2724,WEU,-614.4125249369241
2724,JPK,-41.19563786530004
2724,ANZ,-2.376953400071293
2724,EEU,-19.06100462642748
2724,FSU,-59.03424019621464
2724,MDE,-97.32745480433678
2724,CAM,-36.247345915928044
2724,LAM,-171.3432577723675
2724,SAS,-105.48245901181724
2724,SEA,-293.13041531640346
2724,CHI,-1237.3258725718772
2724,MAF,-177.46216949951355
2724,SSA,-182.78217257208178
2724,SIS,-5.941078696313522
2725,USA,-342.1191854356248
2725,CAN,-25.10412011541775
2725,WEU,-613.3654747791292
2725,JPK,-41.125159697284694
2725,ANZ,-2.3728524139584524
2725,EEU,-19.02645500915498
2725,FSU,-58.906530185763
2725,MDE,-97.15540386834961
2725,CAM,-36.180380916119
2725,LAM,-171.05874550738966
2725,SAS,-105.2871028344143
2725,SEA,-292.60916864548614
2725,CHI,-1235.1321044864226
2725,MAF,-177.13006915278703
2725,SSA,-182.46243955977175
2725,SIS,-5.931135870222949
2726,USA,-341.5509710739652
2726,CAN,-25.06289803602733
2726,WEU,-612.3208692575015
2726,JPK,-41.054845476425506
2726,ANZ,-2.368761092859892
2726,EEU,-18.991993856597123
2726,FSU,-58.77923561913179
2726,MDE,-96.98377412358731
2726,CAM,-36.11359017543454
2726,LAM,-170.77486459819758
2726,SAS,-105.09225762702735
2726,SEA,-292.0892130741869
2726,CHI,-1232.9438110637382
2726,MAF,-176.79886572281737
2726,SSA,-182.1434825663679
2726,SIS,-5.9212155550410435
2727,USA,-340.98402305391613
2727,CAN,-25.021766587109283
2727,WEU,-611.2787002762409
2727,JPK,-40.98469467549565
2727,ANZ,-2.364679405235959
2727,EEU,-18.957620846953464
2727,FSU,-58.65235456572032
2727,MDE,-96.81256413199615
2727,CAM,-36.046973060800724
2727,LAM,-170.49161311859214
2727,SAS,-104.89792151801441
2727,SEA,-291.57054409728767
2727,CHI,-1230.760972698427
2727,MAF,-176.46855570175683
2727,SSA,-181.82529892268226
2727,SIS,-5.91131767966567
2728,USA,-340.41833745450685
2728,CAN,-24.980725490530414
2728,WEU,-610.2389597756074
2728,JPK,-40.91470676944957
2728,ANZ,-2.360607319679304
2728,EEU,-18.923335659960458
2728,FSU,-58.52588510654535
2728,MDE,-96.64177246186325
2728,CAM,-35.98052894210069
2728,LAM,-170.20898914998008
2728,SAS,-104.70409264457768
2728,SEA,-291.05315723019845
2728,CHI,-1228.5835698789504
2728,MAF,-176.1391356001115
2728,SSA,-181.5078859717069
2728,SIS,-5.901442173288792
2729,USA,-339.85391037077596
2729,CAN,-24.93977446928999
2729,WEU,-609.2016397317319
2729,JPK,-40.84488123541315
2729,ANZ,-2.356544804914257
2729,EEU,-18.8891379768828
2729,FSU,-58.39982533415803
2729,MDE,-96.47139768778499
2729,CAM,-35.914257192158715
2729,LAM,-169.9269907813417
2729,SAS,-104.51076915271534
2729,SEA,-290.53704800884697
2729,CHI,-1226.4115831870913
2729,MAF,-175.8106019466259
2729,SSA,-181.1912410685483
2729,SIS,-5.891588965395079
2730,USA,-339.29073791369564
2730,CAN,-24.898913247514542
2730,WEU,-608.1667321564252
2730,JPK,-40.775217552673645
2730,ANZ,-2.352491829796231
2730,EEU,-18.855027480505
2730,FSU,-58.274173352561185
2730,MDE,-96.30143839063547
2730,CAM,-35.84815718672456
2730,LAM,-169.64561610919762
2730,SAS,-104.31794919717376
2730,SEA,-290.02221198956863
2730,CHI,-1224.2449932974237
2730,MAF,-175.48295128816747
2730,SSA,-180.87536158036266
2730,SIS,-5.881757985760587
2731,USA,-338.72881621009964
2731,CAN,-24.858141550452636
2731,WEU,-607.1342290969905
2731,JPK,-40.705715202670035
2731,ANZ,-2.348448363311101
2731,EEU,-18.821003855122832
2731,FSU,-58.148927277127385
2731,MDE,-96.13189315753525
2731,CAM,-35.7822283044577
2731,LAM,-169.36486323757657
2731,SAS,-104.12563094139965
2731,SEA,-289.5086447489991
2731,CHI,-1222.083780976784
2731,MAF,-175.15618018961254
2731,SSA,-180.56024488629137
2731,SIS,-5.871949164451383
2732,USA,-338.16814140260794
2732,CAN,-24.817459104469677
2732,WEU,-606.1041226360335
2732,JPK,-40.63637366898294
2732,ANZ,-2.344414374574603
2732,EEU,-18.787066786534876
2732,FSU,-58.02408523451747
2732,MDE,-95.96276058181981
2732,CAM,-35.71646992691174
2732,LAM,-169.0847302779829
2732,SAS,-103.93381255749233
2732,SEA,-288.99634188396413
2732,CHI,-1219.927927083741
2732,MAF,-174.83028523373227
2732,SSA,-180.24588837739668
2732,SIS,-5.8621624318222
2733,USA,-337.60870964955296
2733,CAN,-24.77686563704269
2733,WEU,-605.0764048912765
2733,JPK,-40.56719243732493
2733,ANZ,-2.3403898328317223
2733,EEU,-18.75321596203414
2733,FSU,-57.8996453626
2733,MDE,-95.79403926300871
2733,CAM,-35.650881438518795
2733,LAM,-168.80521534936338
2733,SAS,-103.74249222615677
2733,SEA,-288.48529901137294
2733,CHI,-1217.7774125680755
2733,MAF,-174.50526302108022
2733,SSA,-179.93228945659737
2733,SIS,-5.852397718515103
2734,USA,-337.0505171249074
2734,CAN,-24.73636087675517
2734,WEU,-604.051068015371
2734,JPK,-40.49817099553058
2734,ANZ,-2.33637470745609
2734,EEU,-18.71945107039966
2734,FSU,-57.77560581037102
2734,MDE,-95.62572780677425
2734,CAM,-35.58546222657407
2734,LAM,-168.5263165780754
2734,SAS,-103.55166813665615
2734,SEA,-287.9755117681101
2734,CHI,-1215.6322184702562
2734,MAF,-174.1811101698798
2734,SSA,-179.61944553860522
2734,SIS,-5.842654955458128
2735,USA,-336.49356001820894
2735,CAN,-24.695944553291863
2735,WEU,-603.0281041957114
2735,JPK,-40.42930883354674
2735,ANZ,-2.3323689679493778
2735,EEU,-18.685771801888215
2735,FSU,-57.65196473787459
2735,MDE,-95.45782482491063
2735,CAM,-35.5202116812204
2735,LAM,-168.24803209785395
2735,SAS,-103.36133848676529
2735,SEA,-287.46697581092775
2735,CHI,-1213.492325920922
2735,MAF,-173.85782331591275
2735,SSA,-179.3073540498614
2735,SIS,-5.832934073863951
2736,USA,-335.93783453448845
2736,CAN,-24.6556163974336
2736,WEU,-602.0075056542513
2736,JPK,-40.360605443422756
2736,ANZ,-2.3283725839406975
2736,EEU,-18.65217784822597
2736,FSU,-57.528720316123994
2736,MDE,-95.29032893530305
2736,CAM,-35.45512919543289
2736,LAM,-167.9703600497792
2736,SAS,-103.17150148272364
2736,SEA,-286.95968681634037
2736,CHI,-1211.3577161403653
2736,MAF,-173.53539911240867
2736,SSA,-178.9960124284733
2736,SIS,-5.823235005228552
2737,USA,-335.38333689419557
2737,CAN,-24.6153761410522
2737,WEU,-600.9892646473177
2737,JPK,-40.29206031930064
2737,ANZ,-2.324385525185996
2737,EEU,-18.61866890260032
2737,FSU,-57.40587072702343
2737,MDE,-95.12323876189681
2737,CAM,-35.390214165003606
2737,LAM,-167.6932985822444
2737,SAS,-102.98215533918936
2737,SEA,-286.4536404805174
2737,CHI,-1209.2283704380175
2737,MAF,-173.21383422993455
2737,SSA,-178.68541812415137
2737,SIS,-5.813557681329869
2738,USA,-334.8300633331276
2738,CAN,-24.575223517105226
2738,WEU,-599.9733734654279
2738,JPK,-40.22367295740537
2738,ANZ,-2.320407761567459
2738,EEU,-18.58524465965158
2738,FSU,-57.283414163290345
2738,MDE,-94.95655293466723
2738,CAM,-35.32546598852647
2738,LAM,-167.41684585092304
2738,SAS,-102.79329827919248
2738,SEA,-285.9488325191781
2738,CHI,-1207.1042702119419
2738,MAF,-172.8931253562855
2738,SSA,-178.37556859814666
2738,SIS,-5.8039020342264775
2739,USA,-334.2780101023547
2739,CAN,-24.535158259630958
2739,WEU,-598.959824433107
2739,JPK,-40.15544285603519
2739,ANZ,-2.316439263092912
2739,EEU,-18.551904815464916
2739,FSU,-57.16134882837852
2739,MDE,-94.79027008958825
2739,CAM,-35.26088406738198
2739,LAM,-167.1410000187367
2739,SAS,-102.60492853408935
2739,SEA,-285.4452586674864
2739,CHI,-1204.9853969483213
2739,MAF,-172.57326919637637
2739,SSA,-178.06646132318815
2739,SIS,-5.794267996256254
2740,USA,-333.72717346814875
2740,CAN,-24.495180103743206
2740,WEU,-597.9486099087053
2740,JPK,-40.08736951555186
2740,ANZ,-2.312479999895221
2740,EEU,-18.518649067562162
2740,FSU,-57.03967293640152
2740,MDE,-94.6243888686028
2740,CAM,-35.196467805722214
2740,LAM,-166.86575925582304
2740,SAS,-102.41704434351682
2740,SEA,-284.9429146799462
2740,CHI,-1202.871732220954
2740,MAF,-172.2542624721336
2740,SSA,-177.75809378342103
2740,SIS,-5.784655500035058
2741,USA,-333.17754971191044
2741,CAN,-24.455288785626227
2741,WEU,-596.939722284217
2741,JPK,-40.01945243837108
2741,ANZ,-2.3085299422317025
2741,EEU,-18.48547711489377
2741,FSU,-56.91838471205686
2741,MDE,-94.45890791959211
2741,CAM,-35.13221661045583
2741,LAM,-166.59112173950314
2741,SAS,-102.22964395534653
2741,SEA,-284.44179633029637
2741,CHI,-1200.7632576907527
2741,MAF,-171.9361019223874
2741,SSA,-177.45046347434428
2741,SIS,-5.775064478455398
2742,USA,-332.62913513009704
2742,CAN,-24.415484042529588
2742,WEU,-595.9331539851016
2742,JPK,-39.95169112895273
2742,ANZ,-2.3045890604835275
2742,EEU,-18.452388657830745
2742,FSU,-56.79748239055072
2742,MDE,-94.29382589634551
2742,CAM,-35.06812989123309
2742,LAM,-166.3170856542492
2742,SAS,-102.04272562563976
2742,SEA,-283.9418994114077
2742,CHI,-1198.6599551052407
2742,MAF,-171.61878430276636
2742,SSA,-177.14356790274988
2742,SIS,-5.765494864685129
2743,USA,-332.08192603415085
2743,CAN,-24.375765612763203
2743,WEU,-594.9288974701019
2743,JPK,-39.884085093791356
2743,ANZ,-2.30065732515513
2743,EEU,-18.41938339815668
2743,FSU,-56.676964217523434
2743,MDE,-94.12914145853068
2743,CAM,-35.00420706043105
2743,LAM,-166.0436491916532
2743,SAS,-101.85628761860221
2743,SEA,-283.44321973517987
2743,CHI,-1196.5618062980604
2743,MAF,-171.3023063855904
2743,SSA,-176.83740458666077
2743,SIS,-5.755946592166131
2744,USA,-331.53591875042724
2744,CAN,-24.33613323569213
2744,WEU,-593.9269452310663
2744,JPK,-39.8166338414065
2744,ANZ,-2.2967347068736204
2744,EEU,-18.38646103905977
2744,FSU,-56.55682844897521
2744,MDE,-93.96485327166339
2744,CAM,-34.94044753313876
2744,LAM,-165.77081055039415
2744,SAS,-101.67032820653928
2744,SEA,-282.94575313243786
2744,CHI,-1194.468793188472
2744,MAF,-170.98666495976656
2744,SSA,-176.53197105527056
2744,SIS,-5.746419594612997
2745,USA,-330.99110962012287
2745,CAN,-24.296586651731566
2745,WEU,-592.9272897927709
2745,JPK,-39.74933688233322
2745,ANZ,-2.292821176388194
2745,EEU,-18.353621285124905
2745,FSU,-56.43707335119279
2745,MDE,-93.80096000707769
2745,CAM,-34.87685072714252
2745,LAM,-165.49856793620617
2745,SAS,-101.48484566981132
2745,SEA,-282.44949545283
2745,CHI,-1192.3808977808658
2745,MAF,-170.67185683068345
2745,SSA,-176.22726484888227
2745,SIS,-5.736913806011722
2746,USA,-330.4474949992049
2746,CAN,-24.25712560234191
2746,WEU,-591.9299237127426
2746,JPK,-39.682193729112484
2746,ANZ,-2.2889167045695484
2746,EEU,-18.320863842325807
2746,FSU,-56.31769720067632
2746,MDE,-93.63746034189656
2746,CAM,-34.81341606291126
2746,LAM,-165.22691956184704
2746,SAS,-101.2998382967893
2746,SEA,-281.9544425647262
2746,CHI,-1190.2981021642722
2746,MAF,-170.35787882010848
2746,SSA,-175.92328351884842
2746,SIS,-5.727429160618414
2747,USA,-329.90507125833915
2747,CAN,-24.21774983002356
2747,WEU,-590.9348395810821
2747,JPK,-39.61520389628169
2747,ANZ,-2.285021262409295
2747,EEU,-18.288188418017175
2747,FSU,-56.19869828406725
2747,MDE,-93.47435295900182
2747,CAM,-34.750142963581986
2747,LAM,-164.95586364706577
2747,SAS,-101.11530438381051
2747,SEA,-281.4605903551166
2747,CHI,-1188.2203885118745
2747,MAF,-170.04472776608404
2747,SSA,-175.62002462751067
2747,SIS,-5.717965592957977
2748,USA,-329.36383478282033
2748,CAN,-24.178459078312045
2748,WEU,-589.9420300202892
2748,JPK,-39.548366900365245
2748,ANZ,-2.2811348210193843
2748,EEU,-18.255594720926922
2748,FSU,-56.08007489807619
2748,MDE,-93.31163654700504
2748,CAM,-34.687030854945256
2748,LAM,-164.68539841857117
2748,SAS,-100.93124223513468
2748,SEA,-280.96793472951083
2748,CHI,-1186.1477390805246
2748,MAF,-169.73240052282546
2748,SSA,-175.31748574814006
2748,SIS,-5.708523037822838
2749,USA,-328.82378197250017
2749,CAN,-24.139253091773035
2749,WEU,-588.9514876850875
2749,JPK,-39.48168225986502
2749,ANZ,-2.277257351631521
2749,EEU,-18.22308246114844
2749,FSU,-55.961825349412045
